_id,ags2,bundesland,datum,bl_mn_idx_m,bl_mn_idx_m_m02a,bl_mn_idx_m_m02b,bl_mn_idx_m_m03,bl_mn_idx_m_m16
424,13,Mecklenburg-Vorpommern,2021-06,28.779,9.473,21.653,0.0,64.067
425,13,Mecklenburg-Vorpommern,2021-07,50.974,40.6,40.6,0.0,100.0
426,13,Mecklenburg-Vorpommern,2021-08,50.974,40.6,40.6,0.0,100.0
427,13,Mecklenburg-Vorpommern,2021-09,50.974,40.6,40.6,0.0,100.0
428,13,Mecklenburg-Vorpommern,2021-10,51.529,40.6,40.6,0.0,100.0
429,13,Mecklenburg-Vorpommern,2021-11,51.691,40.6,40.6,0.0,100.0
430,13,Mecklenburg-Vorpommern,2021-12,50.704,40.6,40.6,0.0,77.29
431,13,Mecklenburg-Vorpommern,2022-01,49.778,40.6,40.6,0.0,56.0
432,13,Mecklenburg-Vorpommern,2022-02,49.778,40.6,40.6,0.0,56.0
433,13,Mecklenburg-Vorpommern,2022-03,49.778,40.6,40.6,0.0,56.0
434,13,Mecklenburg-Vorpommern,2022-04,12.114,20.8,1.0,20.8,12.0
435,13,Mecklenburg-Vorpommern,2022-05,10.935,20.8,17.606,20.8,12.0
436,13,Mecklenburg-Vorpommern,2022-06,8.627,20.8,20.8,20.8,12.0
437,13,Mecklenburg-Vorpommern,2022-07,8.627,20.8,20.8,20.8,12.0
438,13,Mecklenburg-Vorpommern,2022-08,8.627,20.8,20.8,20.8,12.0
439,13,Mecklenburg-Vorpommern,2022-09,8.627,20.8,20.8,20.8,12.0
440,13,Mecklenburg-Vorpommern,2022-10,8.627,20.8,20.8,20.8,12.0
441,13,Mecklenburg-Vorpommern,2022-11,8.627,20.8,20.8,20.8,12.0
442,13,Mecklenburg-Vorpommern,2022-12,8.627,20.8,20.8,20.8,12.0
443,14,Sachsen,2020-03,16.721,25.806,20.697,20.697,0.0
444,14,Sachsen,2020-04,59.464,82.84,80.2,80.2,8.433
445,14,Sachsen,2020-05,55.897,60.4,80.2,80.2,23.0
446,14,Sachsen,2020-06,38.87,43.9,47.2,47.2,32.167
447,14,Sachsen,2020-07,27.369,31.658,31.658,31.658,38.968
448,14,Sachsen,2020-08,25.953,20.8,20.8,20.8,45.0
449,14,Sachsen,2020-09,25.935,20.8,20.8,20.8,45.0
450,14,Sachsen,2020-10,26.595,20.8,20.8,20.8,46.228
451,14,Sachsen,2020-11,35.121,20.8,20.8,20.8,56.282
452,14,Sachsen,2020-12,44.166,65.51,66.787,56.568,56.0
453,14,Sachsen,2021-01,54.266,100.0,100.0,80.2,56.0
454,14,Sachsen,2021-02,60.46,80.2,70.3,60.4,56.0
455,14,Sachsen,2021-03,54.898,60.4,40.6,40.6,56.0
456,14,Sachsen,2021-04,45.102,60.4,40.6,40.6,56.0
457,14,Sachsen,2021-05,41.971,60.4,40.6,40.6,56.0
458,14,Sachsen,2021-06,36.187,26.173,17.593,17.593,37.3
459,14,Sachsen,2021-07,32.959,60.4,40.6,40.6,56.0
460,14,Sachsen,2021-08,49.175,60.4,40.6,40.6,56.0
461,14,Sachsen,2021-09,46.825,60.4,40.6,40.6,56.0
462,14,Sachsen,2021-10,46.825,60.4,40.6,40.6,56.0
463,14,Sachsen,2021-11,46.825,60.4,40.6,40.6,56.0
464,14,Sachsen,2021-12,47.092,23.381,15.716,40.6,49.258
465,14,Sachsen,2022-01,43.483,0.0,0.0,40.6,45.0
466,14,Sachsen,2022-02,41.406,0.0,0.0,40.6,45.0
467,14,Sachsen,2022-03,38.94,0.671,0.671,39.961,43.935
468,14,Sachsen,2022-04,8.012,20.8,20.8,20.8,12.0
469,14,Sachsen,2022-05,8.012,20.8,20.8,20.8,12.0
470,14,Sachsen,2022-06,8.012,20.8,20.8,20.8,12.0
471,14,Sachsen,2022-07,8.012,20.8,20.8,20.8,12.0
472,14,Sachsen,2022-08,8.012,20.8,20.8,20.8,12.0
473,14,Sachsen,2022-09,8.012,20.8,20.8,20.8,12.0
474,14,Sachsen,2022-10,8.012,20.8,20.8,20.8,12.0
475,14,Sachsen,2022-11,8.012,20.8,20.8,20.8,12.0
476,14,Sachsen,2022-12,8.012,20.8,20.8,20.8,12.0
477,15,Sachsen-Anhalt,2020-03,23.511,16.429,16.429,21.705,0.0
478,15,Sachsen-Anhalt,2020-04,62.495,47.86,47.86,80.2,4.4
479,15,Sachsen-Anhalt,2020-05,58.948,78.284,78.284,75.09,13.419
480,15,Sachsen-Anhalt,2020-06,49.766,80.2,80.2,40.6,23.0
481,15,Sachsen-Anhalt,2020-07,42.962,80.2,80.2,40.6,23.0
482,15,Sachsen-Anhalt,2020-08,42.735,80.2,80.2,40.6,23.0
483,15,Sachsen-Anhalt,2020-09,36.234,61.72,61.72,40.6,23.0
484,15,Sachsen-Anhalt,2020-10,28.935,40.6,40.6,40.6,23.456
485,15,Sachsen-Anhalt,2020-11,48.699,40.6,40.6,40.6,25.043
486,15,Sachsen-Anhalt,2020-12,50.811,40.6,40.6,40.6,24.521
487,15,Sachsen-Anhalt,2021-01,56.25,49.542,49.542,45.071,22.442
488,15,Sachsen-Anhalt,2021-02,59.834,80.2,80.2,60.4,13.628
489,15,Sachsen-Anhalt,2021-03,57.2,80.2,80.2,60.4,14.408
490,15,Sachsen-Anhalt,2021-04,56.601,80.2,80.2,60.4,13.99
491,15,Sachsen-Anhalt,2021-05,56.91,49.542,80.2,60.4,20.516
492,15,Sachsen-Anhalt,2021-06,52.963,40.6,80.2,60.4,23.0
493,15,Sachsen-Anhalt,2021-07,48.12,40.6,80.2,60.4,23.0
494,15,Sachsen-Anhalt,2021-08,45.57,40.6,80.2,60.4,23.0
495,15,Sachsen-Anhalt,2021-09,47.858,40.6,80.2,60.4,23.0
496,15,Sachsen-Anhalt,2021-10,49.163,40.6,80.2,60.4,23.0
497,15,Sachsen-Anhalt,2021-11,50.539,40.6,80.2,60.4,36.933
498,15,Sachsen-Anhalt,2021-12,47.065,40.6,44.432,24.632,45.0
499,15,Sachsen-Anhalt,2022-01,46.897,40.6,40.6,20.8,45.0
500,15,Sachsen-Anhalt,2022-02,47.214,40.6,40.6,20.8,45.0
501,15,Sachsen-Anhalt,2022-03,47.992,40.6,40.6,38.684,45.0
502,15,Sachsen-Anhalt,2022-04,11.353,22.12,22.12,22.12,14.2
503,15,Sachsen-Anhalt,2022-05,8.637,20.8,20.8,20.8,12.0
504,15,Sachsen-Anhalt,2022-06,8.012,20.8,20.8,20.8,12.0
505,15,Sachsen-Anhalt,2022-07,8.012,20.8,20.8,20.8,12.0
506,15,Sachsen-Anhalt,2022-08,8.012,20.8,20.8,20.8,12.0
507,15,Sachsen-Anhalt,2022-09,8.012,20.8,20.8,20.8,12.0
508,15,Sachsen-Anhalt,2022-10,8.012,20.8,20.8,20.8,12.0
509,15,Sachsen-Anhalt,2022-11,8.012,20.8,20.8,20.8,12.0
510,15,Sachsen-Anhalt,2022-12,8.012,20.8,20.8,20.8,12.0
511,16,Thüringen,2020-03,14.308,20.926,20.926,18.01,0.226
512,16,Thüringen,2020-04,58.638,85.48,100.0,80.458,6.58
513,16,Thüringen,2020-05,48.484,48.265,52.097,50.181,70.564
514,16,Thüringen,2020-06,34.212,13.533,13.533,13.533,61.5
515,16,Thüringen,2020-07,26.363,0.0,0.0,0.0,23.0
516,16,Thüringen,2020-08,25.733,0.0,0.0,0.0,23.0
517,16,Thüringen,2020-09,21.795,0.0,0.0,0.0,23.0
518,16,Thüringen,2020-10,22.196,0.0,0.0,0.0,23.633
519,16,Thüringen,2020-11,44.795,0.725,0.725,1.431,25.439
520,16,Thüringen,2020-12,54.065,44.735,44.735,3.211,34.108
521,16,Thüringen,2021-01,62.369,80.2,80.2,0.45,34.0
522,16,Thüringen,2021-02,60.896,60.15,70.3,10.15,39.5
523,16,Thüringen,2021-03,57.879,7.707,43.932,45.21,56.139
524,16,Thüringen,2021-04,61.192,15.585,48.09,45.22,56.08
525,16,Thüringen,2021-05,57.238,0.0,6.548,40.6,56.0
526,16,Thüringen,2021-06,16.29,0.0,0.0,0.0,34.0
527,16,Thüringen,2021-07,34.905,20.8,20.8,40.6,56.0
528,16,Thüringen,2021-08,38.921,20.8,20.8,40.6,56.0
529,16,Thüringen,2021-09,38.968,20.8,20.8,40.6,56.0
530,16,Thüringen,2021-10,39.11,20.8,20.8,40.6,56.0
531,16,Thüringen,2021-11,39.158,15.947,15.947,40.6,50.867
532,16,Thüringen,2021-12,37.13,11.787,11.787,40.6,37.194
533,16,Thüringen,2022-01,44.449,40.6,40.6,40.6,45.0
534,16,Thüringen,2022-02,46.82,40.6,40.6,40.6,45.0
535,16,Thüringen,2022-03,48.836,40.6,40.6,40.6,45.0
536,16,Thüringen,2022-04,10.069,20.8,20.8,20.8,12.0
537,16,Thüringen,2022-05,8.452,20.8,20.8,20.8,12.0
538,16,Thüringen,2022-06,8.012,20.8,20.8,20.8,12.0
539,16,Thüringen,2022-07,8.012,20.8,20.8,20.8,12.0
540,16,Thüringen,2022-08,8.012,20.8,20.8,20.8,12.0
541,16,Thüringen,2022-09,8.012,20.8,20.8,20.8,12.0
542,16,Thüringen,2022-10,8.012,20.8,20.8,20.8,12.0
543,16,Thüringen,2022-11,8.012,20.8,20.8,20.8,12.0
544,16,Thüringen,2022-12,8.012,20.8,20.8,20.8,12.0
